"IDCREDITO","Duracao","HistoricoCredito","Proposito","Valor","Investimentos","Emprego","TempoParcelamento","EstadoCivil","FiadorTerceiros","ResidenciaDesde","Idade","OutrosFinanciamentos","Habitacao","EmprestimoExistente","Profissao","Dependentes","SocioEmpresa","Status","proposta","financiamentos","profissao","emprego","histcredito","fiador","residencia","estadocivil","investimentos"
107,18,5,4,6458,2,2,2,4,3,4,39,1,1,2,1,2,1,0,"veiculo novo","banco","altamente qualificado/empresario",">=7","todos pagos","nao","proria","Viuvo","<100\\n"
108,12,2,4,6078,2,4,2,4,3,2,32,3,1,1,4,1,0,1,"veiculo novo","nenhum","qualificado","4<=X<7","existentes/pagos","nao","proria","Viuvo","<100\\n"
109,24,2,3,7721,1,1,1,1,3,2,30,3,1,1,4,1,1,1,"moveis","nenhum","qualificado","<1","existentes/pagos","nao","proria","Solteiro","Desconhecido\\n"
110,14,2,6,1410,3,2,1,3,3,2,35,3,1,1,4,1,1,1,"abrir negocio","nenhum","qualificado",">=7","existentes/pagos","nao","proria","Divorciado","500<=X<1000"
78,11,3,1,4771,2,NULL,2,4,3,4,51,3,1,1,4,1,0,1,"reforma","nenhum","qualificado",NULL,"Atrasos anteriores","nao","proria","Viuvo","<100\\n"
111,6,3,6,1449,5,2,1,2,3,2,31,1,1,2,4,2,0,1,"abrir negocio","banco","qualificado",">=7","Atrasos anteriores","nao","proria","Casado","100<=X<500"
77,42,2,1,3965,2,1,4,4,3,3,34,3,1,1,4,1,0,0,"reforma","nenhum","qualificado","<1","existentes/pagos","nao","proria","Viuvo","<100\\n"
112,15,2,2,392,2,1,4,1,3,4,23,3,3,1,4,1,1,1,"educacao","nenhum","qualificado","<1","existentes/pagos","nao","alugada","Solteiro","<100\\n"
113,18,2,4,6260,2,4,3,4,3,3,28,3,3,1,3,1,0,1,"veiculo novo","nenhum","nao qualificado","4<=X<7","existentes/pagos","nao","alugada","Viuvo","<100\\n"
114,36,1,4,7855,2,3,4,1,3,2,25,2,1,2,4,1,1,0,"veiculo novo","loja","qualificado","1<=X<4","Critico-outros creditos","nao","proria","Solteiro","<100\\n"
115,12,2,1,1680,3,2,3,3,3,1,35,3,1,1,4,1,0,1,"reforma","nenhum","qualificado",">=7","existentes/pagos","nao","proria","Divorciado","500<=X<1000"
116,48,1,1,3578,1,2,4,4,3,1,47,3,1,1,4,1,1,1,"reforma","nenhum","qualificado",">=7","Critico-outros creditos","nao","proria","Viuvo","Desconhecido\\n"
117,42,2,1,7174,1,4,4,1,3,3,30,3,1,1,1,1,1,0,"reforma","nenhum","altamente qualificado/empresario","4<=X<7","existentes/pagos","nao","proria","Solteiro","Desconhecido\\n"
118,10,1,3,2132,1,1,2,1,2,3,27,3,3,2,4,1,0,1,"moveis","nenhum","qualificado","<1","Critico-outros creditos","co requerente","alugada","Solteiro","Desconhecido\\n"
119,33,1,3,4281,3,3,1,1,3,4,23,3,1,2,4,1,0,0,"moveis","nenhum","qualificado","1<=X<4","Critico-outros creditos","nao","proria","Solteiro","500<=X<1000"
120,12,1,4,2366,3,4,3,2,3,3,36,3,1,1,1,1,1,1,"veiculo novo","nenhum","altamente qualificado/empresario","4<=X<7","Critico-outros creditos","nao","proria","Casado","500<=X<1000"
121,21,2,1,1835,2,3,3,1,3,2,25,3,1,2,4,1,1,0,"reforma","nenhum","qualificado","1<=X<4","existentes/pagos","nao","proria","Solteiro","<100\\n"
122,24,1,5,3868,2,2,4,1,3,2,41,3,3,2,1,1,1,1,"veiculo usado","nenhum","altamente qualificado/empresario",">=7","Critico-outros creditos","nao","alugada","Solteiro","<100\\n"
123,12,2,3,1768,2,3,3,4,3,2,24,3,3,1,3,1,0,1,"moveis","nenhum","nao qualificado","1<=X<4","existentes/pagos","nao","alugada","Viuvo","<100\\n"
124,10,1,4,781,2,2,4,4,3,4,63,3,2,2,4,1,1,1,"veiculo novo","nenhum","qualificado",">=7","Critico-outros creditos","nao","de graca","Viuvo","<100\\n"
125,18,2,3,1924,1,1,4,1,3,3,27,3,3,1,4,1,0,0,"moveis","nenhum","qualificado","<1","existentes/pagos","nao","alugada","Solteiro","Desconhecido\\n"
126,12,1,4,2121,2,3,4,4,3,2,30,3,1,2,4,1,0,1,"veiculo novo","nenhum","qualificado","1<=X<4","Critico-outros creditos","nao","proria","Viuvo","<100\\n"
127,12,2,1,701,2,3,4,3,3,2,40,3,1,1,3,1,0,1,"reforma","nenhum","nao qualificado","1<=X<4","existentes/pagos","nao","proria","Divorciado","<100\\n"
128,12,2,8,639,2,3,4,4,3,2,30,3,1,1,4,1,0,0,"reforma casa","nenhum","qualificado","1<=X<4","existentes/pagos","nao","proria","Viuvo","<100\\n"
65,24,2,1,3181,2,1,4,1,3,4,26,3,1,1,4,1,1,1,"reforma","nenhum","qualificado","<1","existentes/pagos","nao","proria","Solteiro","<100\\n"
129,12,1,5,1860,2,5,4,4,3,2,34,3,1,2,1,1,1,1,"veiculo usado","nenhum","altamente qualificado/empresario","Desempregado","Critico-outros creditos","nao","proria","Viuvo","<100\\n"
130,12,1,4,3499,2,3,3,1,2,2,29,3,1,2,4,1,0,0,"veiculo novo","nenhum","qualificado","1<=X<4","Critico-outros creditos","co requerente","proria","Solteiro","<100\\n"
